sport,event_id,commence_time,team1,team2,teams_label,bookmaker,team1_odds,team2_odds,team1_prob,team2_prob,team1_prob_norm,team2_prob_norm,market_prob,model_prob,sentiment_score,sentiment_score_norm,discrepancy,inefficiency_score,news_headlines,ingestion_ts,last_updated
basketball_nba,9010f7d8f26d5880c63b67355800f997,2025-12-25T22:00:00Z,Dallas Mavericks,Golden State Warriors,Dallas Mavericks vs Golden State Warriors,BetRivers,2.5,1.51,0.4,0.6622516556291391,0.3765586034912718,0.6234413965087281,0.3765586034912718,0.5,0.0,0.5,0.12344139650872821,0.6234413965087282,,2025-11-09T10:28:56.970349+00:00,2025-11-09T10:28:56.970349+00:00
basketball_nba,6b9d46fb1b22af30b771b5f6b8a4c6f8,2025-12-26T03:30:00Z,Denver Nuggets,Minnesota Timberwolves,Denver Nuggets vs Minnesota Timberwolves,BetRivers,1.45,2.75,0.6896551724137931,0.36363636363636365,0.6547619047619047,0.3452380952380952,0.6547619047619047,0.5,0.0,0.5,0.15476190476190466,0.6547619047619047,,2025-11-09T10:29:05.921377+00:00,2025-11-09T10:29:05.921377+00:00
soccer_epl,1fd86c07f296285183dc1a1ce1cddc6c,2025-11-09T14:00:00Z,Aston Villa,Bournemouth,Aston Villa vs Bournemouth,FanDuel,2.3,3.1,0.4347826086956522,0.3225806451612903,0.5740740740740741,0.4259259259259259,0.5740740740740741,0.5,0.0,0.5,0.07407407407407407,0.5740740740740741,,2025-11-09T10:29:15.017106+00:00,2025-11-09T10:29:15.017106+00:00
soccer_epl,65a6b789be6dc15a2d93e6297efdbded,2025-11-09T14:00:00Z,Brentford,Newcastle United,Brentford vs Newcastle United,FanDuel,2.9,2.4,0.3448275862068966,0.4166666666666667,0.45283018867924524,0.5471698113207547,0.45283018867924524,0.5,0.0,0.5,0.04716981132075476,0.5471698113207548,,2025-11-09T10:29:23.586330+00:00,2025-11-09T10:29:23.586330+00:00
soccer_epl,ff119e61eab111b93c3b482984212360,2025-11-09T14:00:00Z,Brighton and Hove Albion,Crystal Palace,Brighton and Hove Albion vs Crystal Palace,FanDuel,3.1,2.3,0.3225806451612903,0.4347826086956522,0.4259259259259259,0.5740740740740741,0.4259259259259259,0.5,0.0,0.5,0.07407407407407413,0.5740740740740742,,2025-11-09T10:29:33.058513+00:00,2025-11-09T10:29:33.058513+00:00
soccer_epl,977c6a8753dd81ee4090ac89d04c9901,2025-11-09T14:00:00Z,Leeds United,Nottingham Forest,Leeds United vs Nottingham Forest,FanDuel,3.3,2.3,0.30303030303030304,0.4347826086956522,0.41071428571428564,0.5892857142857143,0.41071428571428564,0.5,0.0,0.5,0.08928571428571436,0.5892857142857144,,2025-11-09T10:29:41.360336+00:00,2025-11-09T10:29:41.360336+00:00
soccer_epl,e676eba2310b9468ad00a1b48bdf4c2a,2025-11-09T16:30:00Z,Liverpool,Manchester City,Liverpool vs Manchester City,FanDuel,3.7,1.91,0.27027027027027023,0.5235602094240838,0.34046345811051687,0.6595365418894831,0.34046345811051687,0.5,0.0,0.5,0.15953654188948313,0.6595365418894832,,2025-11-09T10:29:49.644363+00:00,2025-11-09T10:29:49.644363+00:00
soccer_epl,d0efe3d9ec49a29856612c2739fb409f,2025-11-22T12:30:00Z,Burnley,Chelsea,Burnley vs Chelsea,MyBookie.ag,5.7,1.51,0.17543859649122806,0.6622516556291391,0.20943134535367544,0.7905686546463245,0.20943134535367544,0.5,0.0,0.5,0.29056865464632453,0.7905686546463245,,2025-11-09T10:29:57.829080+00:00,2025-11-09T10:29:57.829080+00:00
soccer_epl,bc9f74ebe7fcebdcc690cc6a85cb05af,2025-11-22T15:00:00Z,Bournemouth,West Ham United,Bournemouth vs West Ham United,FanDuel,1.62,5.4,0.6172839506172839,0.18518518518518517,0.7692307692307692,0.23076923076923075,0.7692307692307692,0.5,0.0,0.5,0.26923076923076916,0.7692307692307692,,2025-11-09T10:30:06.190755+00:00,2025-11-09T10:30:06.190755+00:00
soccer_epl,41e2b268322fa678d54ee27b8e93ede9,2025-11-22T15:00:00Z,Brentford,Brighton and Hove Albion,Brentford vs Brighton and Hove Albion,MyBookie.ag,3.6,1.92,0.2777777777777778,0.5208333333333334,0.34782608695652173,0.6521739130434783,0.34782608695652173,0.5,0.0,0.5,0.15217391304347827,0.6521739130434783,,2025-11-09T10:30:14.313490+00:00,2025-11-09T10:30:14.313490+00:00
soccer_epl,fe5fb1854be5810731cc3fb0ddf2c624,2025-11-22T15:00:00Z,Crystal Palace,Wolverhampton Wanderers,Crystal Palace vs Wolverhampton Wanderers,FanDuel,1.87,4.2,0.53475935828877,0.23809523809523808,0.6919275123558484,0.30807248764415157,0.6919275123558484,0.5,0.0,0.5,0.19192751235584837,0.6919275123558484,,2025-11-09T10:30:22.518485+00:00,2025-11-09T10:30:22.518485+00:00
soccer_epl,04d0bad84be7e78c1bc9eb97b58e79d3,2025-11-22T15:00:00Z,Fulham,Sunderland,Fulham vs Sunderland,FanDuel,2.1,3.7,0.47619047619047616,0.27027027027027023,0.6379310344827586,0.3620689655172413,0.6379310344827586,0.5,0.0,0.5,0.13793103448275856,0.6379310344827586,,2025-11-09T10:30:30.893817+00:00,2025-11-09T10:30:30.893817+00:00
soccer_epl,5ed86edde63dc6c063179aeb66555de5,2025-11-22T15:00:00Z,Liverpool,Nottingham Forest,Liverpool vs Nottingham Forest,FanDuel,1.4,7.0,0.7142857142857143,0.14285714285714285,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.5,0.0,0.5,0.33333333333333326,0.8333333333333333,,2025-11-09T10:30:39.190877+00:00,2025-11-09T10:30:39.190877+00:00
soccer_epl,84bfd349d4c2d2e61b5d941fd4367529,2025-11-22T17:30:00Z,Manchester City,Newcastle United,Manchester City vs Newcastle United,MyBookie.ag,2.12,3.04,0.4716981132075471,0.32894736842105265,0.5891472868217055,0.41085271317829464,0.5891472868217055,0.5,0.0,0.5,0.08914728682170547,0.5891472868217055,,2025-11-09T10:30:47.378184+00:00,2025-11-09T10:30:47.378184+00:00
soccer_epl,c2e4dc092c7b0924bcab74e0d9d79996,2025-11-23T14:00:00Z,Aston Villa,Leeds United,Aston Villa vs Leeds United,MyBookie.ag,2.62,2.6,0.38167938931297707,0.3846153846153846,0.49808429118773945,0.5019157088122606,0.49808429118773945,0.5,0.0,0.5,0.0019157088122605526,0.5019157088122606,,2025-11-09T10:30:55.606746+00:00,2025-11-09T10:30:55.606746+00:00
soccer_epl,8d203a70697ca51c2aa58bb2035d04ff,2025-11-23T16:30:00Z,Arsenal,Tottenham Hotspur,Arsenal vs Tottenham Hotspur,FanDuel,1.33,9.5,0.7518796992481203,0.10526315789473684,0.8771929824561403,0.12280701754385964,0.8771929824561403,0.5,0.0,0.5,0.3771929824561403,0.8771929824561403,,2025-11-09T10:31:04.057269+00:00,2025-11-09T10:31:04.057269+00:00
